Nummer,Boeking,Leverancier,Factuur_Datum,Factuur_Nummer,Totaal,Betaald,Laatst_Betaald_Op,Te_Betalen,B,Limietdatum
2025/00001,22/03/2024,TELENET,22/03/2024,243801970610,89.39,89.39,19/03/2024,,,
2025/00002,22/03/2024,TELENET,22/03/2024,24910211453,296.24,296.24,15/04/2024,,,
2025/00003,22/03/2024,STOCKARTIKELEN,22/03/2024,2025/00003,102,102,18/03/2024,,,
2025/00004,22/03/2024,KLEINE UITGAVEN,22/03/2024,2025/00004,84.94,84.94,21/03/2024,,,
2025/00005,23/03/2024,KLEINE UITGAVEN,23/03/2024,2025/00005,154.95,154.95,22/03/2024,,,
2025/00006,23/03/2024,KLEINE UITGAVEN,23/03/2024,2025/0006,4.45,4.45,25/03/2024,,,
2025/00007,26/03/2024,DOCHY & ZONEN ( glashandel ),15/03/2024,232862,1998.32,1998.32,26/03/2024,,,
2025/00008,26/03/2024,AB CLAENING,26/03/2024,2024-34,275.88,275.88,26/03/2024,,,
2025/00009,28/03/2024,LUMINUS - ALG DELEN,25/03/2024,8753675595,3951,3951,28/03/2024,,,
2025/00010,28/03/2024,EQUANS,25/03/2024,48015555173,1341.91,1341.91,28/03/2024,,,
2025/00011,28/03/2024,STOCKARTIKELEN,27/03/2024,2025/00011,"116,56","116,56",28/03/2024,,,
2025/00012,28/03/2024,KLEINE UITGAVEN,27/03/2024,2025/00012,503.29,503.29,27/03/2024,,,
2025/00016,29/03/2024,LUMINUS - D.VERL.,25/03/2024,8753675594,2140,2140,02/04/2024,,,
2025/00017,29/03/2024,LUMINUS - CONCIERGERIE,25/03/2024,3567496792,676,676,02/04/2024,,,
2025/00018,29/03/2024,LUMINUS - LIFT 3,25/03/2024,8193707782,346,346,02/04/2024,,,
2025/00019,29/03/2024,LUMINUS - LIFT 1,29/03/2024,8753675593,376,376,02/04/2024,,,
2025/00020,06/04/2024,ZEHNDER GROUP BELGIUM,25/03/2024,6231004990,151,151,02/04/2024,,,
2025/00021,08/04/2024,KLEINE UITGAVEN,08/04/2024,247003614,437.05,437.05,04/04/2024,,,
2025/00022,09/04/2024,KLEINE UITGAVEN,03/04/2024,2025/00022,59.46,59.46,03/04/2024,,,
2025/00023,09/04/2024,KLEINE UITGAVEN,03/04/2024,2025/00023,167.16,167.16,03/04/2024,,,
2025/00024,09/04/2024,LUMINUS,25/03/2024,3567496818,189,189,05/04/2024,,,
2025/00025,09/04/2024,ANSUL,11/04/2024,224/15990,1081.59,1081.59,05/04/2024,,,
2025/00026,09/04/2024,LUMINUS,25/03/2024,3567496807,226,226,05/04/2024,,,
2025/00027,09/04/2024,LUMINUS,25/03/2024,3567496801,274,274,05/04/2024,,,
2025/00028,09/04/2024,KLEINE UITGAVEN,01/04/2024,2025/00028,229.22,229.22,05/04/2024,,,
2025/00029,09/04/2024,AB CLAENING,30/03/2024,2024/38,275.88,275.88,05/04/2024,,,
2025/00030,09/04/2024,LUMINUS,25/03/2024,3567496803,276,276,05/04/2024,,,
2025/00031,09/04/2024,LUMINUS,25/03/2024,3567496799,175,175,05/04/2024,,,
2025/00032,09/04/2024,LUMINUS,25/03/2024,3567496814,228,228,05/04/2024,,,
2025/00033,09/04/2024,LEFEVRE LIEVEN,31/03/2024,20240172,280.9,280.9,05/04/2024,,,
2025/00034,09/04/2024,LEFEVRE LIEVEN,30/03/2024,20240130,209.99,209.99,05/04/2024,,,
2025/00035,09/04/2024,KLEINE UITGAVEN,04/04/2024,247003711,90.13,90.13,06/04/2024,,,
2025/00036,09/04/2024,LUMINUS,25/03/2024,35674496813,215,215,08/04/2024,,,
2025/00037,09/04/2024,LUMINUS,25/03/2024,3567496816,172,172,08/04/2024,,,
2025/00038,09/04/2024,LUMINUS,25/03/2024,3567496805,237,237,08/04/2024,,,
2025/00039,09/04/2024,LEFEVRE LIEVEN,09/04/2024,20240186,496.11,496.11,09/04/2024,,,
2025/00040,09/04/2024,VIVIUM,29/03/2024,CN /202409124,-1686.97,-1686.97,02/04/2024,,,
2025/00041,11/04/2024,VEOLIA,11/04/2024,2104322424,602.35,602.35,12/04/2024,,,
2025/00042,12/04/2024,ELEKTRO POWER,08/04/2024,20240078,881.41,881.41,12/04/2024,,,
